airline,price_brl,price_label,departure,arrival
"Azul","848.43","R$ 848,43","05:20","10:40"
"Azul","855.19","R$ 855,19","06:00","11:59"
"Azul","855.19","R$ 855,19","05:20","10:40"
"Azul","926.41","R$ 926,41","05:20","10:40"
"Azul","1007.73","R$ 1.007,73","05:20","10:40"
"Azul","1014.9","R$ 1.014,90","05:20","10:40"
"Azul","1033.73","R$ 1.033,73","05:20","10:40"
"Azul","1050.28","R$ 1.050,28","05:20","10:40"
"Azul","1078.59","R$ 1.078,59","05:20","10:40"
"Azul","1122.34","R$ 1.122,34","05:20","10:40"
"Azul","1263.9","R$ 1.263,90","05:20","10:40"
"Azul","1307.93","R$ 1.307,93","05:20","10:40"
"Azul","1510.9","R$ 1.510,90","05:20","10:40"
"Azul","1563.55","R$ 1.563,55","05:20","10:40"
"Azul","2005.62","R$ 2.005,62","05:20","10:40"
"Azul","2172.91","R$ 2.172,91","05:20","10:40"
"Azul","2295.98","R$ 2.295,98","05:20","10:40"
"Azul","2423.98","R$ 2.423,98","05:20","10:40"
"Azul","3499","R$ 3.499,00","05:20","10:40"
"Azul","3620.92","R$ 3.620,92","05:20","10:40"